customer_id,first_name,order_id,title,order_date,order_year,order_month,order_day,order_weekday,is_weekend,title_length,total_orders_x,recency_days_x,word_count,recency_days_y,total_orders_y,recency_days,is_churn,total_orders
1,Ursola,1,The Collected Poems of Wilfred Owen,2022-12-05 10:39:21.422412,2022,12,5,0,0,35,61,27,6,27,61,27,0,61
2,Ruthanne,2,M Is for Mayflower: A Massachusetts Alphabet,2022-01-15 12:38:12.360012,2022,1,15,5,1,44,73,38,7,38,69,38,0,69
3,Reidar,3,Gerontius,2023-01-01 00:18:49.329612,2023,1,1,6,1,9,69,28,1,28,66,28,0,66
4,Rich,4,Visiting Mrs Nabokov and Other Excursions,2023-05-18 12:37:54.561612,2023,5,18,3,0,41,62,37,6,37,59,37,0,59
5,Carline,5,Immigrant Acts: On Asian American Cultural Politics,2022-11-03 18:47:19.531212,2022,11,3,3,0,51,65,53,7,53,63,53,0,63
6,Kandy,6,Solo,2024-04-22 19:51:20.011212,2024,4,22,0,0,4,66,28,1,28,63,28,0,63
7,Jermain,7,Eden in the East: The Drowned Continent of Southeast Asia,2024-05-20 15:08:23.361612,2024,5,20,0,0,57,65,63,10,63,63,63,0,63
8,Nolly,8,Death of a Snob (Hamish Macbeth  #6),2022-10-23 14:56:46.372812,2022,10,23,6,1,36,68,23,7,23,65,23,0,65
9,Phebe,9,End Game (Dreamland  #8),2024-04-14 10:32:12.705612,2024,4,14,6,1,24,61,25,4,25,59,25,0,59
10,Euell,10,Looking East,2024-09-26 20:30:46.766412,2024,9,26,3,0,12,62,35,2,35,62,35,0,62
11,Teriann,11,Clarissa  Or The History of a Young Lady,2024-10-12 12:20:48.388812,2024,10,12,5,1,40,78,33,8,33,76,33,0,76
12,Filmer,12,Children of the Night,2023-04-25 06:37:06.782412,2023,4,25,1,0,21,64,61,4,61,62,61,0,62
13,Daisey,13,When We Meet Again (Effingtons  #10),2022-08-21 10:54:01.147212,2022,8,21,6,1,36,58,32,6,32,58,32,0,58
14,Gusella,14,Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,2024-06-22 09:12:36.427212,2024,6,22,5,1,64,53,86,11,86,50,86,0,50
15,Lonnie,15,The Real Rule of Four: The Unauthorized Guide to the New York Times #1 Bestseller,2023-05-03 21:53:23.966412,2023,5,3,2,0,81,50,69,15,69,49,69,0,49
16,Debbi,16,Maus I: A Survivor's Tale: My Father Bleeds History (Maus  #1),2022-02-23 03:27:32.654412,2022,2,23,2,0,62,53,25,11,25,53,25,0,53
17,Ignace,17,The Chronicles of Narnia (The Chronicles of Narnia  #1-7),2024-11-12 01:51:06.446412,2024,11,12,1,0,57,55,48,9,48,54,48,0,54
18,Andrei,18,Breath  Eyes  Memory,2021-12-31 04:50:04.497612,2021,12,31,4,0,20,53,47,3,47,52,47,0,52
19,Sanford,19,This Is Berlin: Reporting from Nazi Germany 1938-40,2023-12-16 22:55:04.478412,2023,12,16,5,1,51,57,25,8,25,57,25,0,57
20,Kali,20,The Music of Chance,2023-07-26 20:53:29.553612,2023,7,26,2,0,19,53,57,4,57,51,57,0,51
21,Krishnah,21,Golden Urchin,2023-01-30 12:09:13.819212,2023,1,30,0,0,13,52,47,2,47,50,47,0,50
22,Alley,22,Hegemony or Survival: America's Quest for Global Dominance,2023-03-10 13:48:19.608012,2023,3,10,4,0,58,54,51,8,51,54,51,0,54
23,Gilligan,23,Manna from Heaven,2022-08-12 19:17:26.846412,2022,8,12,4,0,17,53,43,3,43,50,43,0,50
24,Raul,24,Battle Cry of Freedom,2022-07-25 12:03:20.356812,2022,7,25,0,0,21,57,71,4,71,56,71,0,56
25,Garrek,25,Unacknowledged Legislation: Writers in the Public Sphere,2022-08-08 19:44:40.065612,2022,8,8,0,0,56,53,27,7,27,52,27,0,52
26,Mathilde,26,Taxi Driver,2022-12-07 08:00:02.558412,2022,12,7,2,0,11,50,114,2,114,50,114,0,50
27,Dacy,27,Aquatic Turtles: Sliders  Cooters  Painted  and Map Turtles,2023-10-19 11:16:18.187212,2023,10,19,3,0,59,50,78,8,78,48,78,0,48
28,Rob,28,Introducing Philosophy,2024-02-29 06:45:35.246412,2024,2,29,3,0,22,47,51,2,51,46,51,0,46
29,Rafaello,29,Como agua para chocolate,2022-03-21 09:45:06.129612,2022,3,21,0,0,24,43,70,4,70,42,70,0,42
30,Matthiew,30,A Treasury of Dick and Jane and Friends (Dick and Jane),2023-08-04 12:02:46.142412,2023,8,4,4,0,55,46,49,11,49,46,49,0,46
31,Tripp,31,The Wealth of Nations,2022-01-31 02:21:54.283212,2022,1,31,0,0,21,48,43,4,43,48,43,0,48
32,Noby,32,Theory of Colours,2023-03-31 14:06:18.398412,2023,3,31,4,0,17,52,142,3,142,51,142,0,51
33,Penny,33,A Quiver Full of Arrows,2022-12-17 18:26:52.737612,2022,12,17,5,1,23,39,78,5,78,37,78,0,37
34,Peadar,34,The Amazing Adventures of the Escapist: Volume 1,2022-08-29 20:34:38.750412,2022,8,29,0,0,48,49,52,8,52,46,52,0,46
35,Fee,35,The Return of Lum  Volume 5: Feudal Furor (Urusei Yatsura  #6),2022-04-11 00:45:31.185612,2022,4,11,0,0,62,42,37,11,37,42,37,0,42
36,Ronny,36,Anita Diamant's The Red Tent: A Reader's Guide,2022-07-06 15:59:42.916812,2022,7,6,2,0,46,50,58,8,58,48,58,0,48
37,Travus,37,Horse Heaven,2022-09-07 04:57:00.600012,2022,9,7,2,0,12,43,46,2,46,42,46,0,42
38,Bailie,38,Drop Dead Gorgeous (Blair Mallory  #2),2024-07-15 12:31:37.771212,2024,7,15,0,0,38,43,154,6,154,42,154,0,42
39,Ulrica,39,The Heart of a Woman,2023-09-11 21:50:05.419212,2023,9,11,0,0,20,42,29,5,29,41,29,0,41
40,Natty,40,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,2022-05-18 20:41:16.795212,2022,5,18,2,0,83,44,42,13,42,43,42,0,43
41,Gertrude,41,Clouds,2023-07-09 14:24:49.588812,2023,7,9,6,1,6,47,50,1,50,45,50,0,45
42,Anna-diana,42,The Ring Volume 4 Birthday,2023-04-08 04:19:56.750412,2023,4,8,5,1,26,47,39,5,39,47,39,0,47
